,Alpha,MAPE,MAPE Difference,,,Num_Variables,MAPE,
Humidity Difference,6000,4.753936762,0,,,0,4.753936762,0
Cloud height,500,4.748247613,-0.005689149,,,2,4.748247613,-0.005689149
Wind direction,200,4.750921327,0.002673714,,,3,4.750921327,0.002673714
Wind speed^2,200,4.750921327,0,,,3,4.750921327,0
Dayofyear,100,4.629771131,-0.121150196,,,5,4.629771131,-0.121150196
Wind speed^3,100,4.629771131,0,,,5,4.629771131,0
Temperature Difference,60,4.630165183,0.000394052,,,7,4.630165183,0.000394052
Day,50,4.520302542,-0.109862641,,,8,4.520302542,-0.109862641
Temp-48 Difference,40,4.536783293,0.016480751,,,9,4.536783293,0.016480751
Holiday_Alternate,6.5,4.49730769,-0.039475603,,,12,4.49730769,-0.039475603
Yearly cycle (sine wave),6.5,4.49730769,0,,,12,4.49730769,0
Wind speed Difference,5,4.297932058,-0.199375632,,,13,4.297932058,-0.199375632
Dayofweek,4.5,4.294197049,-0.003735009,,,14,4.294197049,-0.003735009
Temperature-24hrs,4,4.298449119,0.00425207,,,15,4.298449119,0.00425207
Temperature-96hrs,4,4.298449119,0,,,15,4.298449119,0
Hour,3.5,4.275840872,-0.022608247,,,17,4.275840872,-0.022608247
Humidity,2,4.27848029,0.002639418,,,17,4.27848029,0.002639418
Temperature,2,4.27848029,0,,,17,4.27848029,0
Weekday,2,4.27848029,0,,,17,4.27848029,0
Year,2,4.27848029,0,,,17,4.27848029,0
Temperature-36hrs,1.5,4.274248182,-0.004232108,,,22,4.274248182,-0.004232108
Temperature-18hrs,1,4.274444757,0.000196575,,,23,4.274444757,0.000196575
Temperature-48hrs,0.9,4.274260636,-0.000184121,,,24,4.274260636,-0.000184121
Temperature-72hrs,0.85,4.274489251,0.000228615,,,25,4.274489251,0.000228615
Sun duration*potential solar irradiance Difference,0.8,4.274344888,-0.000144363,,,26,4.274344888,-0.000144363
Week,0.7,4.228296101,-0.046048787,,,27,4.228296101,-0.046048787
Visibility,0.65,4.228265854,-3.0247E-05,,,27,4.228265854,-3.0247E-05
Quarter,0.6,4.228287036,2.1182E-05,,,28,4.228287036,2.1182E-05
Binary indicator windy day,0.45,4.22543247,-0.002854566,,,28,4.22543247,-0.002854566
Temperature over 6hrs,0.45,4.22543247,0,,,28,4.22543247,0
Binary indicator sunny day,0.4,4.221396764,-0.004035706,,,30,4.221396764,-0.004035706
Temperature-6hrs,0.4,4.221396764,0,,,30,4.221396764,0
Wind speed,0.35,4.22120736,-0.000189404,,,32,4.22120736,-0.000189404
Daily cycle (sine wave),0.3,4.221078631,-0.000128729,,,33,4.221078631,-0.000128729
Sun duration,0.3,4.221078631,0,,,33,4.221078631,0
Temperature over 48hrs,0.3,4.221078631,0,,,33,4.221078631,0
Daily cycle (cosine wave),0.2,4.215649979,-0.005428652,,,36,4.215649979,-0.005428652
Yearly cycle (cosine wave),0.2,4.215649979,0,,,36,4.215649979,0
Month,0.1,4.213028339,-0.00262164,,,38,4.213028339,-0.00262164
Sun duration*potential solar irradiance,0.1,4.213028339,0,,,38,4.213028339,0
Temperature over 12hrs,0.1,4.213028339,0,,,38,4.213028339,0
Temperature over 24hrs,0.1,4.213028339,0,,,38,4.213028339,0
Temperature-12hrs,0.1,4.213028339,0,,,38,4.213028339,0
Minute,0.05,4.208085756,-0.004942583,,,43,4.208085756,-0.004942583
Potential solar irradiance,0.05,4.208085756,0,,,43,4.208085756,0
Temperature over 18hrs,0.045,4.206987628,-0.001098128,,,45,4.206987628,-0.001098128
Temperature over 96hrs,0.03,4.20719146,0.000203832,,,46,4.20719146,0.000203832
Temperature over 36hrs,0.025,4.207225386,3.3926E-05,,,47,4.207225386,3.3926E-05
Temperature over 72hrs,0.025,4.207225386,0,,,47,4.207225386,0
